# x,tns
-1269.28,63428.1
-1214.8,63573
-1151.53,62930.8
-1091.78,63477.2
-1035.54,63059.8
-979.31,64104.1
-917.8,63221
-854.53,63510.4
-798.29,63558.9
-729.75,63318.3
-671.76,63671.9
-617.28,63511.5
-554.01,63046
-492.5,63769.1
-434.5,63351.8
-373,63625.1
-313.24,63320.2
-253.49,63416.9
-195.5,63786.6
-137.5,63722.6
-77.75,63337.4
-18,63209.2
52.3,63707.4
108.54,64366.2
168.29,64382.5
228.04,65105.6
291.31,65073.8
345.79,65668.3
402.03,66118.3
467.05,65588.5
525.05,65283.7
581.28,65380.3
644.55,65075.4
706.06,65236.3
769.33,65236.6
827.32,65253
880.05,65140.8
939.8,65157.1
1011.85,65318.1
1069.85,64740.1
1127.84,64547.7
1182.32,64837
1243.83,64837.3
1296.56,64869.7
1370.37,64580.9
1421.33,64243.9
1482.84,63955.1
1546.11,64180.2
1602.35,64035.9
1672.64,64132.6
1727.12,63924.1
1785.12,63844.1
1843.11,64374.4
1908.14,64149.8
1971.4,64069.8
2025.89,64102.2
2087.39,64455.8
2147.15,63508.5
2208.66,63974.5
2264.89,64344.2
2328.16,64778.2
2386.16,63782.6
2451.18,63895.4
2509.18,64232.9
2567.17,64056.5
2632.2,63928.3
2686.68,63816.2
2744.67,64426.8
2802.67,64427.1
2864.18,64074
2925.68,64283.1
2980.16,64154.8
3048.7,64283.7
3103.18,63753.9
3162.94,64091.5
# x,old
-1269.28,63926.1
-1207.77,63524.8
-1146.26,64633.3
-1090.02,63653.9
-1033.79,64103.8
-974.03,64425.3
-907.25,64281.1
-852.77,63895.9
-794.78,64105
-727.99,64522.9
-670,64250.1
-606.73,64427.1
-548.74,63784.9
-488.98,63865.5
-432.75,64476.1
-374.75,64106.9
-313.24,63946.6
-251.73,64268.1
-186.71,63385.1
-133.99,64332.9
-70.72,64220.8
-10.97,63899.8
52.3,64012.6
106.78,64542.9
168.29,65539
228.04,66856.3
284.28,68800
349.31,69667.6
407.3,71322.2
467.05,72157.7
525.05,72896.8
579.53,72447.3
646.31,71564.2
699.03,70536.5
769.33,70665.4
827.32,69445
887.08,68963.4
946.83,67984
997.79,67325.7
1075.12,65703.8
1131.36,65174.1
1189.35,65029.8
1249.1,63889.7
1310.61,64147
1366.85,64516.7
1430.12,64260
1477.57,64436.9
1551.38,63810.8
1597.07,63907.4
1663.86,64469.9
1727.12,64100.8
1790.39,64004.7
1862.44,64310.2
1902.87,63411
1959.1,64342.8
2018.86,64262.8
2092.67,63861.6
2150.66,64006.4
2206.9,64568.8
2263.14,63958.7
2331.68,64151.8
2396.7,64248.5
2451.18,64329
2509.18,64602.3
2568.93,63976.2
2630.44,63992.6
2677.89,63703.7
2734.13,64587.3
2800.91,64202.2
2864.18,64218.5
2923.93,63961.8
2987.19,63512.4
3045.19,64653.1
3103.18,63689.6
3162.94,64139.6
# x,new
-1281.58,63476.3
-1213.04,63476.6
-1146.26,63621.5
-1093.54,63429
-1037.3,64200.2
-970.52,64280.8
-909.01,63783.2
-845.74,63960.2
-793.02,64554.7
-738.54,63703.7
-675.27,63977
-617.28,63913.1
-550.49,63431.5
-483.71,63624.6
-434.5,64138.8
-364.21,64171.2
-311.49,63802.1
-253.49,64155.7
-195.5,64075.7
-133.99,63995.6
-81.26,63626.5
-12.72,63530.4
41.76,64189.2
113.81,64109.2
163.02,64575.2
221.01,64993.1
287.8,67097.5
349.31,68430.9
407.3,69314.5
465.29,68704.4
516.26,68977.7
579.53,69106.5
646.31,68657.1
711.33,68512.9
772.84,68111.6
829.08,67100
880.05,66923.6
955.62,66104.8
1003.07,65077.1
1066.33,65254.1
1122.57,64403.1
1180.57,64355.2
1243.83,63953.9
1303.58,64564.6
1363.34,63697.5
1426.6,64019
1479.33,63922.9
1547.87,63425.3
1602.35,63666.5
1667.37,64132.6
1737.67,64181.1
1793.91,63844.1
1851.9,64262
1906.38,64101.6
1964.38,64005.5
2034.67,63652.5
2085.64,63540.3
2141.87,64215.1
2205.14,64135.1
2270.17,64360.3
2321.13,64280.2
2393.19,64473.3
2445.91,63525.9
2505.66,63975.9
2568.93,63831.7
2633.95,63430.5
2690.19,63864.4
2751.7,63993.2
2809.69,65005.3
2871.2,63784.9
2934.47,64074.3
2987.19,64106.7
3039.92,63641.2
3106.7,63464.8
3164.69,64252.1
